         NAME        |     R, G, B    |    #HEXCODE   |   BLOCKS   
_____________________|________________|_______________|__________________________________________________________________________
0         NONE       |  transparent   |    ???????    | Air, Void Air, Cave Air, Barrier, Redstone Lamp, Cake, Powered Rail, Detector Rail, Torch, Redstone Wire, Ladder, Rail, Lever, Redstone Torch, Buttons, Repeater, Tripwire Hook, Tripwire, Flower Pot, Head, Comparator, Activator Rail, End Rod, Glass, Glass Pane, Nether Portal, Stained Glass Pane (all colors), Structure Void, Iron Bars, Soul Fire Torch, Chain
1         GRASS      |  127, 178, 56  |    #79b238    | Grass Block, Slime Block
2         SAND       |  247, 233, 163 |    #f7dfa3    | Sand, Birch (Planks, Log (vertical), Stripped Log, Wood, Stripped Wood, Sign, Pressure Plate, Trapdoor, Stairs, Slab, Fence Gate, Fence, Door), Sandstone (All variants, all slabs, all stairs, all walls), Glowstone, End Stone, End Stone Bricks (slab, stairs, wall), Bone Block, Turtle Egg, Scaffolding
3         WOOL       |  199, 199, 199 |    #c7c7c7    | Cobweb, Mushroom Stem, Bed (head)
4         FIRE       |  255, 0, 0,    |    #ff0000    | Lava, TNT, Fire, Redstone Block
5         ICE        |  160, 160 ,255 |    #a0a0ff    | Ice, Frosted Ice, Packed Ice, Blue Ice
6         METAL      |  167, 167, 167 |    #a7a7a7    |	Block of Iron, Iron Door, Brewing Stand, Heavy Weighted Pressure Plate, Iron Trapdoor, Lantern, Anvil, Grindstone, Soul Fire Lantern, Lodestone
7         PLANT      |  0, 124, ,0    |    #00ff00    |	Sapling, Flowers, Wheat, Sugar Cane, Pumpkin Stem, Melon Stem, Lily Pad, Cocoa, Carrots, Potatoes, Beetroots, Sweet Berry Bush, Grass, Fern, Vines, Leaves, Cactus, Bamboo
8         SNOW       | 255, 255, 255  |    #ffffff    | Snow, Snow Block, White (Bed (foot), Wool, Stained Glass, Carpet, Banner, Shulker Box, Glazed Terracotta, Concrete, Concrete Powder)
9         CLAY       | 164, 168, 184  |    #a4a8b8    | Clay, Infested Block (Stone, Cobblestone, Stone Brick, Mossy Stone Brick, Cracked Stone Brick, Chiseled Stone Brick)
10        DIRT       | 151, 109, 77   |    #976d4d    | Dirt, Coarse Dirt, Farmland, Grass Path, Granite (slab, stairs, wall), Polished Granite (slab, stairs), Jungle (Planks, Log (vertical), Stripped Log, Wood, Stripped Wood, Sign, Pressure Plate, Trapdoor, Stairs, Slab, Fence Gate, Fence, Door), Jukebox, Brown Mushroom Block
11        STONE      | 112, 112, 112  |    #707070    | Stone (slab, stairs), Andesite (slab, stairs, wall), Polished Andesite (slab, stairs), Cobblestone (slab, stairs), Bedrock, Gold Ore, Iron Ore, Coal Ore, Lapis Lazuli Ore, Dispenser, Mossy Cobblestone (slab, stairs, wall), Spawner, Diamond Ore, Furnace, Stone Pressure Plate, Redstone Ore, Stone Bricks (all variants, all slabs, all stairs, all walls), Emerald Ore, Ender Chest, Dropper, Smooth Stone (slab, stairs), Observer, Smoker, Blast Furnace, Stonecutter, Sticky Piston, Piston, Piston Head, Gravel, Acacia Log (side), Cauldron, Hopper
12        WATER      | 64, 64,  255   |    #4040ff    | Kelp, Seagrass, Water, Bubble Column
13        WOOD       | 143, 119, 72   |    #8f7748    | Oak (Planks, Log (vertical), Stripped Log, Wood, Stripped Wood, Sign, Door, Pressure Plate, Fence, Trapdoor, Fence Gate, Slab, Stairs), Note Block, Bookshelf, Chest, Crafting Table, Trapped Chest, Daylight Detector, Loom, Barrel, Cartography Table, Fletching Table, Lectern, Smithing Table, Composter, Bamboo Sapling, Dead Bush, Petrified Oak Slab, Beehive
14        QUARTZ     | 255, 252, 245  |    #fffff5    | Diorite, Polished Diorite, Birch Log (side), Quartz Block (all variants, all slabs, all stairs), Sea Lantern, Target
15 COLOUR ORANGE     | 216, 127, 51   |    #d88033    | Acacia (Planks, Log (vertical), Stripped Log, Stripped Wood, Sign, Trapdoor, Slab), Red Sand, Orange (Wool, Carpet, Shulker Box, Bed (foot), Stained Glass, Banner, Glazed Terracotta, Concrete, Concrete Powder), Pumpkin, Carved Pumpkin, Jack o'Lantern, Terracotta, Red Sandstone (all variants, all stairs, all slabs, all walls), Honey Block, Honeycomb Block
16 COLOUR MAGENTA    | 178, 76, 216   |    #b24cd8    | Magenta (Wool, Carpet, Shulker Box, Bed (foot), Stained Glass, Banner, Glazed Terracotta, Concrete, Concrete Powder), Purpur (all variants, slab, stairs)
17 CO LIGHT BLUE     | 102, 153, 216  |    #6699d8    | Light Blue (Wool, Carpet, Shulker Box, Bed (foot), Stained Glass, Banner, Glazed Terracotta, Concrete, Concrete Powder), Soul Fire
18 COLOUR YELLOW     | 229, 229, 51   |    #e5e533    | Sponge, Wet Sponge, Yellow (Wool, Carpet, Shulker Box, Bed (foot), Stained Glass, Banner, Glazed Terracotta, Concrete, Concrete Powder), Hay Bale, Horn Coral (Coral Block, Coral, Coral Fan), Bee Nest
19 CO LIGHT GREEN    | 127, 204, 25   |    #7ecc19    | Lime (Wool, Carpet, Shulker Box, Bed (foot), Stained Glass, Banner, Glazed Terracotta, Concrete, Concrete Powder), Melon
20 COLOUR PINK       | 242, 127, 165  |    #f27fa5    | Pink (Wool, Carpet, Shulker Box, Bed (foot), Stained Glass, Banner, Glazed Terracotta, Concrete, Concrete Powder), Brain Coral (Coral Block, Coral, Coral Fan)
21 COLOUR GRAY       | 76, 76, 76     |    #4c4c4c    | Acacia Wood, Gray (Wool, Carpet, Shulker Box, Bed (foot), Stained Glass, Banner, Glazed Terracotta, Concrete, Concrete Powder), Dead Coral (Coral Block, Coral, Coral Fan)
22 CO LIGHT GRAY     | 153, 153, 153  |    #999999    | Light Gray (Wool, Carpet, Shulker Box, Bed (foot), Stained Glass, Banner, Glazed Terracotta, Concrete, Concrete Powder), Structure Block, Jigsaw Block
23 COLOUR CYAN       | 76, 127, 153   |    #4c7f99    | Cyan (Wool, Carpet, Shulker Box, Bed (foot), Stained Glass, Banner, Glazed Terracotta, Concrete, Concrete Powder), Prismarine (slab, stairs, wall), Warped (Roots, Pressure Plate, Fence, Trapdoor, Fence Gate, Door, Sign, Fungus), Twisting Vines, Nether Sprouts
24 COLOUR PURPLE     | 127, 63, 178   |    #7e3fb2    | Shulker Box, Purple (Wool, Carpet, Bed (foot), Stained Glass, Banner, Glazed Terracotta, Concrete, Concrete Powder), Mycelium, Chorus Plant, Chorus Flower, Repeating Command Block, Bubble Coral (Coral Block, Coral, Coral Fan)
25 COLOUR BLUE       | 51, 76, 178    |    #334cb2    | Blue (Wool, Carpet, Shulker Box, Bed (foot), Stained Glass, Banner, Glazed Terracotta, Concrete, Concrete Powder), Tube Coral (Coral Block, Coral, Coral Fan)
26 COLOUR BROWN      | 102, 76, 51    |    #664c33    | Dark Oak (Planks, Log, Stripped Log, Wood, Stripped Wood, Sign, Pressure Plate, Trapdoor, Stairs, Slab, Fence Gate, Fence, Door), Spruce Log (side), Brown (Wool, Carpet, Shulker Box, Bed (foot), Stained Glass, Banner, Glazed Terracotta, Concrete, Concrete Powder), Soul Sand, Command Block, Brown Mushroom, Soul Soil
27 COLOUR GREEN      | 102, 127, 51   |    #667f33    | Green (Wool, Carpet, Shulker Box, Bed (foot), Stained Glass, Banner, Glazed Terracotta, Concrete, Concrete Powder), End Portal Frame, Chain Command Block, Dried Kelp Block, Sea Pickle
28 COLOUR RED        | 153, 51, 51    |    #993333    | Red (Wool, Carpet, Shulker Box, Bed (foot), Stained Glass, Banner, Glazed Terracotta, Concrete, Concrete Powder), Bricks (slab, stairs, wall), Red Mushroom Block, Nether Wart, Enchanting Table, Nether Wart Block, Fire Coral (Coral Block, Coral, Coral Fan), Red Mushroom, Shroomlight
29 COLOUR BLACK      | 25, 25, 25     |    #191919    | Black (Wool, Carpet, Shulker Box, Bed (foot), Stained Glass, Banner, Glazed Terracotta, Concrete, Concrete Powder), Obsidian, End Portal, Dragon Egg, Coal Block, End Gateway, Basalt, Polished Basalt, Block of Netherite, Ancient Debris, Crying Obsidian, Respawn Anchor, Blackstone, Polished Blackstone, Polished Blackstone Bricks, Gilded Blackstone
30        GOLD       | 250, 238, 77   |    #faee4d    | Block of Gold, Light Weighted Pressure Plate, Bell
31        DIAMOND    | 92, 219, 213   |    #5cdbd5    | Block of Diamond, Beacon, Prismarine Bricks (slab, stairs), Dark Prismarine (slab, stairs), Conduit
32        LAPIS      | 74, 128, 255   |    #4a80ff    | Lapis Lazuli Block
33        EMERALD    | 0, 128, 255    |    #0080ff    | Block of Emerald
34        PODZOL     | 129, 86, 49    |    #815631    | Podzol, Spruce (Planks, Log (vertical), Stripped Log, Wood, Stripped Wood, Sign, Pressure Plate, Trapdoor, Stairs, Slab, Fence Gate, Fence, Door), Oak Log (side), Jungle Log (side), Campfire, Soul Campfire
35        NETHER     | 122, 2, 0      |    #7a0200    | Netherrack, Nether Bricks (fence, slab, stairs, wall, chiseled, cracked), Nether Gold Ore, Nether Quartz Ore, Magma Block, Red Nether Bricks (slab, stairs, wall), Crimson (Roots, Pressure Plate, Fence, Trapdoor, Fence Gate, Door, Sign, Fungus), Weeping Vines
36 TERRACOTTA WHITE  | 209, 177, 161  |    #d1b1a1    | White Terracotta
37 TERRACOTTA ORANGE | 159, 82, 36    |    #9f5124    | Orange Terracotta
38 TERRACOTTA MAGENTA| 149, 87, 108   |    #95576c    | Magenta Terracotta
39 TERRACOTTA L BLUE | 112, 108, 138  |    #706c8a    | Light Blue Terracotta
40 TERRACOTTA YELLOW | 186, 117, 36   |    #ba7424    | Yellow Terracotta
41 TERRACOTTA L GREEN| 103, 117, 53   |    #677535    | Lime Terracotta
42 TERRACOTTA PINK   | 160, 77, 78    |    #a04d4e    | Pink Terracotta
43 TERRACOTTA GRAY   | 57, 41, 35     |    #392923    | Gray Terracotta
44 TERRACOTTA L GRAY | 135, 107, 98   |    #876b62    | Light Gray Terracotta
45 TERRACOTTA CYAN   | 87, 92, 92     |    #575c5c    | Cyan Terracotta
46 TERRACOTTA PURPLE | 122, 73, 88    |    #7a4958    | Purple (Terracotta, Shulker Box)
47 TERRACOTTA BLUE   | 76, 62, 92     |    #4c3e5c    | Blue Terracotta
48 TERRACOTTA BROWN  | 76, 50 ,35     |    #4c3223    | Brown Terracotta
49 TERRACOTTA GREEN  | 76, 82, 42     |    #4c522a    | Green Terracotta
50 TERRACOTTA RED    | 142, 60, 46    |    #8e3c2e    | Red Terracotta
51 TERRACOTTA BLACK  | 37, 22, 16     |    #251610    | Black Terracotta
52 CRIMSON NYLIUM    | 189, 48, 49    |    #bd3030    | Crimson Nylium
53 CRIMSON STEM      | 148, 63, 97    |    #943f61    | Crimson (Stem, Stripped Stem, Planks, Stairs, Slab)
54 CRIMSON HYPHAE    | 92, 25, 29     |    #5c191d    | Crimson (Hyphae, Stripped Hyphae)
55 WARPED NYLIUM     | 22, 126, 134   |    #167f86    | Warped Nylium
56 WARPED STEM       | 58, 142, 140   |    #3a8e8d    | Warped (Stem, Stripped Stem, Planks, Stairs, Slab)
57 WARPED HYPHAE     | 86, 44, 62     |    #562c3e    | Warped (Hyphae, Stripped Hyphae)
58 WARPED WART BLOCK | 20, 180, 133   |    #14b484    | Warped Wart Block
----------------------------------------------------------------------------
